datetime,121609_00010,121607_00095,121610_00300,121612_00301,121608_00400,243095_99133,243094_99134
2019-04-01,8.822222222222223,316.94444444444446,11.28918918918919,97.36111111111111,7.557575757575758,,
2019-04-02,8.543750000000001,314.1145833333333,11.205208333333333,96.0,7.5062500000000005,,
2019-04-03,8.834375,313.6354166666667,11.206249999999999,96.67708333333333,7.519791666666666,,
2019-04-04,9.365625,311.5520833333333,11.161458333333334,97.55208333333333,7.503125,,
2019-04-05,9.278021978021977,307.64835164835165,11.161538461538461,97.31868131868131,7.5,,
2019-04-06,9.491666666666665,315.1979166666667,11.11875,97.47916666666667,7.501041666666667,,
2019-04-07,10.285416666666666,316.2395833333333,11.080208333333333,98.9375,7.502083333333334,,
2019-04-08,11.116666666666667,315.1041666666667,10.901041666666666,99.22916666666667,7.5,,
2019-04-09,11.758333333333333,315.1354166666667,10.700000000000001,98.83333333333333,7.5,,
2019-04-10,11.911458333333334,315.7395833333333,10.657291666666667,98.8125,7.503125,,
2019-04-11,11.760416666666666,320.3125,10.741666666666667,99.19791666666667,7.545833333333333,,
2019-04-12,12.169791666666667,323.8333333333333,10.738541666666668,100.0,7.576041666666666,,
2019-04-13,13.057291666666666,324.4895833333333,10.509375,100.05208333333333,7.559374999999999,,
2019-04-14,13.477083333333333,314.9270833333333,10.295833333333333,98.85416666666667,7.495833333333334,,
2019-04-15,13.949253731343283,320.7313432835821,9.98235294117647,96.80882352941177,7.516417910447761,,
2019-04-16,13.667164179104478,305.5970149253731,10.085294117647058,97.20588235294117,7.575,,
2019-04-17,13.878124999999999,285.6979166666667,9.761458333333334,94.57291666666667,7.5062500000000005,,
2019-04-18,14.043750000000001,269.3645833333333,9.5,92.3125,7.452083333333333,,
2019-04-19,14.742708333333333,263.6458333333333,9.183333333333334,90.61458333333333,7.394791666666666,,
2019-04-20,15.427083333333334,264.65625,9.004166666666666,90.20833333333333,7.380208333333333,,
2019-04-21,15.304166666666667,247.67708333333334,8.796875,87.89583333333333,7.284375,,
2019-04-22,15.032291666666666,225.51041666666666,8.820833333333333,87.60416666666667,7.222916666666666,,
2019-04-23,15.036458333333334,209.625,8.886458333333334,88.22916666666667,7.182291666666667,,
2019-04-24,15.514893617021277,211.68085106382978,9.040425531914893,90.7872340425532,7.129347826086956,,
2019-04-25,15.594791666666666,220.14583333333334,9.061458333333333,91.11458333333333,7.1625000000000005,,
2019-04-26,15.660416666666668,230.69791666666666,8.816666666666666,88.76041666666667,7.170833333333333,,
2019-04-27,15.40625,240.59375,8.914583333333333,89.1875,7.234375,,
2019-04-28,15.1875,231.19791666666666,9.038541666666667,90.0625,7.255208333333333,,
2019-04-29,15.048958333333333,239.04166666666666,9.115625,90.61458333333333,7.2375,,
2019-04-30,15.435416666666667,237.0,9.091666666666667,91.02083333333333,7.2124999999999995,,
2019-05-01,15.40625,238.4375,9.115625,91.21875,7.2281249999999995,,
2019-05-02,15.723958333333334,250.92708333333334,8.892708333333333,89.61458333333333,7.201041666666668,,
2019-05-03,15.836458333333333,250.73958333333334,8.854166666666666,89.44791666666667,7.238541666666666,,
2019-05-04,15.915625,257.59375,8.640625,87.46875,7.242708333333333,,
2019-05-05,15.75,259.6145833333333,8.589583333333334,86.66666666666667,7.242708333333333,,
2019-05-06,15.469148936170212,262.79787234042556,8.73723404255319,87.59574468085107,7.2531914893617015,,
2019-05-07,15.56875,264.875,8.760416666666666,88.02083333333333,7.221875,,
2019-05-08,15.720833333333333,245.47916666666666,8.710416666666667,87.77083333333333,7.184375,,
2019-05-09,15.639583333333334,239.83333333333334,8.583333333333334,86.29166666666667,7.16875,,
2019-05-10,15.986458333333333,249.375,8.421875,85.3125,7.145833333333333,,
2019-05-11,16.722916666666666,255.3125,8.041666666666666,82.82291666666667,7.117708333333333,,
2019-05-12,16.1875,253.13541666666666,8.404166666666667,85.5625,7.163541666666667,,
2019-05-13,15.353125,247.16666666666666,8.615625,86.0625,7.186458333333333,,
2019-05-14,15.18125,252.57291666666666,8.504166666666666,84.69791666666667,7.197916666666667,,
2019-05-15,14.85,244.22916666666666,8.696875,85.95833333333333,7.197916666666667,,
2019-05-16,15.038541666666667,243.17708333333334,8.820833333333333,87.65625,7.202083333333333,,
2019-05-17,15.108421052631579,246.23157894736843,8.777894736842105,87.28421052631579,7.189473684210526,,
2019-05-18,15.30531914893617,240.53191489361703,8.713829787234042,87.06382978723404,7.1670212765957455,,
2019-05-19,15.770526315789475,234.0,8.658510638297873,87.38297872340425,7.11578947368421,,
